"lat","lon","APN","SEQUENCE","RDNUM","RDPREDIR","RDPREFIX","RDNAME","RDSUFFIX","RDPOSTDIR","COMMUNITY","ADDRCOMB"
"-121.076554542407","40.2415297134131","106150004000","0","5534",,"HIGHWAY","147",,,"EAST SHORE","5534 HIGHWAY 147"
"-121.076884883672","40.2422695084","106150006000","0","5586",,"HIGHWAY","147",,,"EAST SHORE","5586 HIGHWAY 147"
"-121.076790086487","40.2420178039115","106150007000","0","5574",,"HIGHWAY","147",,,"EAST SHORE","5574 HIGHWAY 147"
"-121.076423171875","40.2413049920839","106150008000","0","5516",,"HIGHWAY","147",,,"EAST SHORE","5516 HIGHWAY 147"
"-121.076287614894","40.2410712768191","106150009000","0","5498",,"HIGHWAY","147",,,"EAST SHORE","5498 HIGHWAY 147"
"-121.076139131119","40.2408266640983","106150010000","0","5480",,"HIGHWAY","147",,,"EAST SHORE","5480 HIGHWAY 147"
"-121.076663936768","40.2397402116027","106161001000","0","5423",,"HIGHWAY","147",,,"EAST SHORE","5423 HIGHWAY 147"
"-121.076621747488","40.2395038019893","106161002000","0","5399",,"HIGHWAY","147",,,"EAST SHORE","5399 HIGHWAY 147"
"-121.076565255766","40.2392765043017","106161004000","0","5365",,"HIGHWAY","147",,,"EAST SHORE","5365 HIGHWAY 147"
"-121.076561608964","40.2389290982208","106161005000","0","5351",,"HIGHWAY","147",,,"EAST SHORE","5351 HIGHWAY 147"
"-121.075929814308","40.2404528596873","106162001000","0","5450",,"HIGHWAY","147",,,"EAST SHORE","5450 HIGHWAY 147"
"-121.075739373231","40.240070907704","106162002000","0","5432",,"HIGHWAY","147",,,"EAST SHORE","5432 HIGHWAY 147"
"-121.075581226865","40.2398126365748","106162003000","0","5404",,"HIGHWAY","147",,,"EAST SHORE","5404 HIGHWAY 147"
"-121.075462314426","40.2395162631041","106162004000","0","5386",,"HIGHWAY","147",,,"EAST SHORE","5386 HIGHWAY 147"
"-121.075290696403","40.2392155335806","106162006000","0","5372",,"HIGHWAY","147",,,"EAST SHORE","5372 HIGHWAY 147"
"-121.075250339349","40.2388897233048","106162007000","0","5358",,"HIGHWAY","147",,,"EAST SHORE","5358 HIGHWAY 147"
"-121.076618921209","40.2373054177925","106171003000","0","5241",,"HIGHWAY","147",,,"EAST SHORE","5241 HIGHWAY 147"
"-121.076639644922","40.2370580317095","106171004000","0","5223",,"HIGHWAY","147",,,"EAST SHORE","5223 HIGHWAY 147"
"-121.076656925386","40.2368913033525","106171005501","0","5211",,"HIGHWAY","147",,,"EAST SHORE","5211 HIGHWAY 147"
"-121.076656925386","40.2368913033525","106171005502","0","5211",,"HIGHWAY","147",,,"EAST SHORE","5211 HIGHWAY 147"
"-121.076656925386","40.2368913033525","106171005503","0","5211",,"HIGHWAY","147",,,"EAST SHORE","5211 HIGHWAY 147"
"-121.07657981977","40.238240618471","106171006000","0","5305",,"HIGHWAY","147",,,"EAST SHORE","5305 HIGHWAY 147"
"-121.076577802944","40.2380210706538","106171008000","0","5291",,"HIGHWAY","147",,,"EAST SHORE","5291 HIGHWAY 147"
"-121.076550445898","40.2378307028253","106171010000","0","5275",,"HIGHWAY","147",,,"EAST SHORE","5275 HIGHWAY 147"
"-121.07658188196","40.2376089915645","106171011000","0","5261",,"HIGHWAY","147",,,"EAST SHORE","5261 HIGHWAY 147"
"-121.07656568893","40.2385331989356","106171012000","0","5323",,"HIGHWAY","147",,,"EAST SHORE","5323 HIGHWAY 147"
"-121.075265422427","40.2380214067507","106172002000","0","5294",,"HIGHWAY","147",,,"EAST SHORE","5294 HIGHWAY 147"
"-121.075281518006","40.2376148063926","106172003000","0","5264",,"HIGHWAY","147",,,"EAST SHORE","5264 HIGHWAY 147"
"-121.075243963523","40.2385778052353","106172005000","0","5332",,"HIGHWAY","147",,,"EAST SHORE","5332 HIGHWAY 147"
"-121.075254346213","40.2382922315788","106172006000","0","5314",,"HIGHWAY","147",,,"EAST SHORE","5314 HIGHWAY 147"
"-121.075728133651","40.2371482325909","106172007000","1","5230",,"HIGHWAY","147",,,"EAST SHORE","5230 HIGHWAY 147"
"-121.076669484117","40.2367305245757","106181001000","0","5201",,"HIGHWAY","147",,,"EAST SHORE","5201 HIGHWAY 147"
"-121.076674062365","40.2365756852753","106181002000","0","5189",,"HIGHWAY","147",,,"EAST SHORE","5189 HIGHWAY 147"
